id,lat1,lon1,lat2,lon2,lat_center,lon_center,score_prix,score_hopitaux,score_practicien,score_metro,score_parking,score_final
432,45.708757,4.798455000000001,45.711757,4.802955000000001,45.710257,4.800705000000001,0.5313858954701598,0,0.0,0.0,0.0,0.23380979400687033
433,45.708757,4.802955000000001,45.711757,4.807455000000001,45.710257,4.805205000000001,0.36699188887001855,0,0.0,0.0,0.0,0.16147643110280818
434,45.708757,4.807455,45.711757,4.811955,45.710257,4.809705,0.5987116090403712,0,0.0,0.0,0.0,0.2634331079777633
435,45.708757,4.811955,45.711757,4.816455,45.710257,4.814205,0.7232265579102459,0,0.0,0.0,0.0,0.31821968548050816
436,45.708757,4.816455,45.711757,4.8209550000000005,45.710257,4.8187050000000005,0.4511944695906121,0,0.0,0.0,0.0,0.1985255666198693
444,45.708757,4.852455,45.711757,4.856955,45.710257,4.854705,0.6802641175969509,0,0.0,0.0,0.0,0.29931621174265843
445,45.708757,4.856955,45.711757,4.861455,45.710257,4.859205,0.6285767849310386,0,0.0,0.0,0.0,0.27657378536965704
446,45.708757,4.861455,45.711757,4.8659550000000005,45.710257,4.863705,0.4778980921801068,0,0.0,0.0,0.0,0.210275160559247
451,45.708757,4.883955,45.711757,4.888455,45.710257,4.886205,0.4840789439695521,0,0.0,0.0,0.0,0.21299473534660293
454,45.708757,4.897455,45.711757,4.901955,45.710257,4.899705,0.35326086956521735,0,0.0,0.0,0.0,0.15543478260869562
455,45.708757,4.901955,45.711757,4.906455,45.710257,4.904205,0.29389327788090663,0,0.0,0.0,0.0,0.1293130422675989
459,45.708757,4.919955,45.711757,4.924455,45.710257,4.922205,0.3576986426490313,0,0.0,0.0,0.0,0.15738740276557375
470,45.708757,4.969455,45.711757,4.973955,45.710257,4.971705,0.35326086956521735,0,0.0,0.0,0.0,0.15543478260869562
471,45.708757,4.973955,45.711757,4.978455,45.710257,4.976205,0.37023632785911376,0,0.0,0.0,0.0,0.16290398425801006
480,45.711757,4.744455,45.714757,4.7489550000000005,45.713257,4.746705,0.3691168259492108,0,0.0,0.0,0.0,0.16241140341765273
481,45.711757,4.7489550000000005,45.714757,4.753455000000001,45.713257,4.751205000000001,0.6322416001280131,0,0.0,0.0,0.0,0.2781863040563258
482,45.711757,4.753455000000001,45.714757,4.757955000000001,45.713257,4.755705000000001,0.321510275630012,0,0.0,0.0,0.0,0.14146452127720527
483,45.711757,4.757955,45.714757,4.762455,45.713257,4.760205,0.29544811413890953,0,0.0,0.0,0.0,0.1299971702211202
484,45.711757,4.762455,45.714757,4.766955,45.713257,4.764705,0.37742847148988773,0,0.0,0.0,0.0,0.1660685274555506
485,45.711757,4.766955,45.714757,4.7714550000000004,45.713257,4.769205,0.35326086956521735,0,0.0,0.0,0.0,0.15543478260869562
487,45.711757,4.775955000000001,45.714757,4.780455000000001,45.713257,4.778205000000001,0.34870963545518907,0,0.0,0.0,0.0,0.15343223960028318
488,45.711757,4.780455,45.714757,4.784955,45.713257,4.782705,0.38652296868099545,0,0.0,0.0,0.0,0.170070106219638
489,45.711757,4.784955,45.714757,4.789455,45.713257,4.787205,0.4353553326192866,0,0.0,0.0,0.0,0.1915563463524861
490,45.711757,4.789455,45.714757,4.793955,45.713257,4.791705,0.3543241295867443,0,0.0,0.0,0.0,0.15590261701816752
491,45.711757,4.793955,45.714757,4.798455000000001,45.713257,4.7962050000000005,0.4955332232920631,0,0.0,0.0,0.0,0.21803461824850778
492,45.711757,4.798455000000001,45.714757,4.802955000000001,45.713257,4.800705000000001,0.5702722885527756,0,0.0,0.0,0.0,0.25091980696322125
493,45.711757,4.802955000000001,45.714757,4.807455000000001,45.713257,4.805205000000001,0.7010639208497048,0,0.0,0.08333333333333333,0.0,0.3209681251738701
494,45.711757,4.807455,45.714757,4.811955,45.713257,4.809705,0.5794563452386966,0,0.0,0.0,0.0,0.2549607919050265
495,45.711757,4.811955,45.714757,4.816455,45.713257,4.814205,0.535600172299805,0,0.0,0.0,0.0,0.23566407581191423
504,45.711757,4.852455,45.714757,4.856955,45.713257,4.854705,0.4316760172142193,0,0.0,0.0,0.01430615164520744,0.190938878189421
506,45.711757,4.861455,45.714757,4.8659550000000005,45.713257,4.863705,0.35326086956521735,0,0.0,0.0,0.0,0.15543478260869562
511,45.711757,4.883955,45.714757,4.888455,45.713257,4.886205,0.38363917343539217,0,0.0,0.0,0.0,0.16880123631157254
512,45.711757,4.888455,45.714757,4.892955000000001,45.713257,4.8907050000000005,0.4222254707356351,0,0.0,0.0,0.0,0.18577920712367946
517,45.711757,4.910955,45.714757,4.915455000000001,45.713257,4.9132050000000005,0.3532608883960487,0,0.0,0.0,0.0,0.15543479089426143
519,45.711757,4.919955,45.714757,4.924455,45.713257,4.922205,0.35326086956521735,0,0.0,0.0,0.0,0.15543478260869562
531,45.711757,4.973955,45.714757,4.978455,45.713257,4.976205,0.5924242308247836,0,0.0,0.0,0.0,0.26066666156290474
532,45.711757,4.978455,45.714757,4.9829550000000005,45.713257,4.980705,0.35326086956521735,0,0.0,0.0,0.0,0.15543478260869562
540,45.714757,4.744455,45.717757,4.7489550000000005,45.716257,4.746705,0.5902319835751609,0,0.0,0.0,0.0,0.25970207277307084
541,45.714757,4.7489550000000005,45.717757,4.753455000000001,45.716257,4.751205000000001,0.3737648707181486,0,0.0,0.0,0.0,0.16445654311598537
542,45.714757,4.753455000000001,45.717757,4.757955000000001,45.716257,4.755705000000001,0.3704121759833152,0,0.0,0.0,0.0,0.1629813574326587
543,45.714757,4.757955,45.717757,4.762455,45.716257,4.760205,0.4293079317239556,0,0.0,0.0,0.0,0.18889548995854047
545,45.714757,4.766955,45.717757,4.7714550000000004,45.716257,4.769205,0.26306872339300813,0,0.0,0.0,0.0,0.11575023829292358
547,45.714757,4.775955000000001,45.717757,4.780455000000001,45.716257,4.778205000000001,0.42497326849900846,0,0.0,0.0,0.0,0.18698823813956372
549,45.714757,4.784955,45.717757,4.789455,45.716257,4.787205,0.5178670222033058,0,0.0,0.0,0.0,0.22786148976945456
550,45.714757,4.789455,45.717757,4.793955,45.716257,4.791705,0.4482851715270413,0,0.0,0.0,0.0,0.19724547547189814
551,45.714757,4.793955,45.717757,4.798455000000001,45.716257,4.7962050000000005,0.36990887696252867,0,0.0,0.0,0.0,0.16275990586351263
552,45.714757,4.798455000000001,45.717757,4.802955000000001,45.716257,4.800705000000001,0.40088528025503334,0,0.0,0.0,0.0,0.1763895233122147
553,45.714757,4.802955000000001,45.717757,4.807455000000001,45.716257,4.805205000000001,0.4641513996283523,0,0.0,0.0,0.0,0.204226615836475
554,45.714757,4.807455,45.717757,4.811955,45.716257,4.809705,0.7892129290900616,0,0.0,0.0,0.0,0.3472536887996271
555,45.714757,4.811955,45.717757,4.816455,45.716257,4.814205,0.544415948524275,0,0.0,0.08333333333333333,0.0,0.252043017350681
556,45.714757,4.816455,45.717757,4.8209550000000005,45.716257,4.8187050000000005,0.6526983592822516,0,0.0,0.0,0.0,0.2871872780841907
571,45.714757,4.883955,45.717757,4.888455,45.716257,4.886205,0.4053091453561202,0,0.0,0.0,0.0,0.17833602395669287
572,45.714757,4.888455,45.717757,4.892955000000001,45.716257,4.8907050000000005,0.47084517902296513,0,0.0,0.0,0.0,0.20717187877010468
577,45.714757,4.910955,45.717757,4.915455000000001,45.716257,4.9132050000000005,0.399091134044478,0,0.0,0.0,0.0,0.1756000989795703
580,45.714757,4.924455,45.717757,4.928955,45.716257,4.926705,0.0,1,0.0,0.0,0.0,0.22
591,45.714757,4.973955,45.717757,4.978455,45.716257,4.976205,0.35326086956521735,0,0.0,0.0,0.0,0.15543478260869562
592,45.714757,4.978455,45.717757,4.9829550000000005,45.716257,4.980705,0.4660847994652574,0,0.0,0.0,0.0,0.20507731176471325
597,45.714757,5.000955,45.717757,5.005455,45.716257,5.003205,0.35326086956521735,0,0.0,0.0,0.0,0.15543478260869562
602,45.717757,4.753455000000001,45.720757,4.757955000000001,45.719257,4.755705000000001,0.3159249848835169,0,0.0,0.0,0.0,0.13900699334874742
603,45.717757,4.757955,45.720757,4.762455,45.719257,4.760205,0.2321932543877284,0,0.0,0.0,0.0,0.10216503193060049
604,45.717757,4.762455,45.720757,4.766955,45.719257,4.764705,0.41062312920464467,0,0.0,0.0,0.0,0.18067417685004364
605,45.717757,4.766955,45.720757,4.7714550000000004,45.719257,4.769205,0.35326086956521735,0,0.0,0.0,0.0,0.15543478260869562
608,45.717757,4.780455,45.720757,4.784955,45.719257,4.782705,0.30246915426283055,0,0.0,0.0,0.0,0.13308642787564545
609,45.717757,4.784955,45.720757,4.789455,45.719257,4.787205,0.3540016431052414,0,0.0,0.0,0.0,0.15576072296630622
610,45.717757,4.789455,45.720757,4.793955,45.719257,4.791705,0.4515151699105891,0,0.0,0.0,0.0,0.19866667476065922
611,45.717757,4.793955,45.720757,4.798455000000001,45.719257,4.7962050000000005,0.48350772644379286,0,0.0,0.0,0.0,0.21274339963526884
612,45.717757,4.798455000000001,45.720757,4.802955000000001,45.719257,4.800705000000001,0.6940290125884379,0,0.0,0.0,0.0,0.3053727655389127
613,45.717757,4.802955000000001,45.720757,4.807455000000001,45.719257,4.805205000000001,0.5668466648431805,0,0.0,0.0,0.0,0.2494125325309994
614,45.717757,4.807455,45.720757,4.811955,45.719257,4.809705,0.48985473996941487,0,0.0,0.0,0.00715307582260372,0.2160368008941248
615,45.717757,4.811955,45.720757,4.816455,45.719257,4.814205,0.4051413242551237,0,0.0,0.0,0.0,0.17826218267225444
616,45.717757,4.816455,45.720757,4.8209550000000005,45.719257,4.8187050000000005,0.6256667959678454,0,0.0,0.0,0.0,0.2752933902258519
624,45.717757,4.852455,45.720757,4.856955,45.719257,4.854705,0.5960975152052026,0,0.0,0.0,0.0,0.26228290669028914
625,45.717757,4.856955,45.720757,4.861455,45.719257,4.859205,0.3161473454864613,0,0.0,0.0,0.0,0.13910483201404297
626,45.717757,4.861455,45.720757,4.8659550000000005,45.719257,4.863705,0.2661471160126644,0,0.0,0.0,0.0,0.11710473104557233
627,45.717757,4.8659550000000005,45.720757,4.870455000000001,45.719257,4.868205000000001,0.3445771116549596,0,0.0,0.0,0.0,0.15161392912818222
631,45.717757,4.883955,45.720757,4.888455,45.719257,4.886205,0.35326086956521735,0,0.0,0.06666666666666667,0.0,0.16543478260869562
632,45.717757,4.888455,45.720757,4.892955000000001,45.719257,4.8907050000000005,0.5634602267096271,0,0.0,0.0,0.0,0.24792249975223593
636,45.717757,4.906455,45.720757,4.910955,45.719257,4.908705,0.35326086956521735,0,0.0,0.0,0.0,0.15543478260869562
637,45.717757,4.910955,45.720757,4.915455000000001,45.719257,4.9132050000000005,0.5155808024746558,0,0.0,0.0,0.0,0.22685555308884855
656,45.717757,4.996455,45.720757,5.000955,45.719257,4.998705,0.2920502803691088,0,0.0,0.0,0.0,0.12850212336240788
657,45.717757,5.000955,45.720757,5.005455,45.719257,5.003205,0.5125196835006063,0,0.0,0.0,0.0,0.22550866074026676
